id,pesan,kategori,label
1,singkat saja berapa TON yang lewat,Percakapan Biasa,Tidak Berisiko
2,mau berak pun payah gada air,Percakapan Biasa,Tidak Berisiko
3,"KOMPENSASI BOSS,
masyarakat telat bayar, listrik langsung diputus kok.",Transaksi Aman,Tidak Berisiko
4,"Gamau maafin , ak keringatan pas tidur bdmood",Percakapan Biasa,Tidak Berisiko
5,tapi waktu mati lampu malam tadi langitnya cantik loh,Kata Kasar & Ancaman,Berisiko
6,anak wifi apa kabar 😭,Percakapan Biasa,Tidak Berisiko
7,"klo d Jepang, pejabat seperti ini sdh mengundurkan diri",Percakapan Biasa,Tidak Berisiko
8,kalo ada pemadaman listrik. seharusnya masyarakat mendapatkan kompensasi tagihan listrik.,Transaksi Aman,Tidak Berisiko
9,Diskon listrik sebulan lah bujang sebagai kompensasi bujang,Informasi Umum,Tidak Berisiko
10,[Stiker] brp banyak barang yg masuk pak?,Percakapan Biasa,Tidak Berisiko
11,"mikir pake otak
es creamku jadi air semua 4 freezeeer",Percakapan Biasa,Tidak Berisiko
12,kami pengguna listrik minta kompensasi .km telat bayar d putusin..,Transaksi Aman,Tidak Berisiko
13,"cuman minta maaf aja ni lek, gak ada makan"" gitu",Percakapan Biasa,Tidak Berisiko
14,"nggak jadi Iclik pak , panas 😏",Percakapan Biasa,Tidak Berisiko
15,Ngomong nya bisa agak cepat gk pak soal nya masih banyak yg mau di skroll,Percakapan Biasa,Tidak Berisiko
16,matane 2jam di tmpt ku bangkinang riau 11jam cok,Kata Kasar & Ancaman,Berisiko
17,"Tidak kumaafkan, masa jm 7 pagi baru hidup😭",Percakapan Biasa,Tidak Berisiko
18,tanpa kita sadarin cahaya nya lagi berkumpul di sebelah bapak itu,Percakapan Biasa,Tidak Berisiko
19,Ganti rugi anjir merugikan bgt listrik mati hampir 7 jam,Kata Kasar & Ancaman,Berisiko
20,"maaf????
kami kalo telat bayar listrik boleh g minta maaf?",Transaksi Aman,Tidak Berisiko
21,gara² kau ini aku gak bisa sleepcall,Percakapan Biasa,Tidak Berisiko
22,Singkat padat pak brp ton yg msk kluar tadi mlm selama lampu pak mati kn.,Percakapan Biasa,Tidak Berisiko
23,alasan gk masuk diakal..,Percakapan Biasa,Tidak Berisiko
24,eh katanya nanti mati lampu lagi,Percakapan Biasa,Tidak Berisiko
25,Pakkkkkkk tanjung morawa belum hidup saya mau lamarannnn😭😭😭😭😭,Percakapan Biasa,Tidak Berisiko
26,Gilak dr jam 7 malam sampek 06.40 pagi baru hiduppp,Jadwal & Kegiatan,Tidak Berisiko
27,guyss listrik klian mati lagi gaa???,Informasi Umum,Tidak Berisiko
28,"😁sepertinya ngarang, mana mungkin serentak, tiap daerah ada pembangkitnya, masing2",Percakapan Biasa,Tidak Berisiko
29,"GAK MAU MAAFIN, matinya waktu aku baru pasang AC jadi gak bisa ngerasin day one tidur pake AC 😭",Percakapan Biasa,Tidak Berisiko
30,"gamau maapin, aku tidur di lantai + keringatan.",Percakapan Biasa,Tidak Berisiko
31,2 hari ya bujang,Percakapan Biasa,Tidak Berisiko
32,"Kami di kota Binjai, sampai sekarang, Sabtu pukul 13.00 listrik belum nyala
di Jepang pimpinannya bakal mundur kalau ada kejadian seperti ini.",Jadwal & Kegiatan,Tidak Berisiko
33,"Gara2 mati lampu, gue di putusin 😂😭 sat",Percakapan Biasa,Tidak Berisiko
34,Di balik mati lampu semalam ada bulan yang sangat syahdu,Percakapan Biasa,Tidak Berisiko
35,"enak bener cuma minta maaf, dari jam 18.44 sampai jam 06.00 tanpa listrik tanpa komunikasi, cerita pln rugi aja tiap hari kami dengar, giliran pelayanan nol besar",Jadwal & Kegiatan,Tidak Berisiko
36,anak wifi apa kabar?,Percakapan Biasa,Tidak Berisiko
37,[Stiker] Gara” bapak kami gak bisa main epep,Percakapan Biasa,Tidak Berisiko
38,"pemadam 3-5 jam masih maklum pak
ini jam 6 sore sampai jam 7 pagi😳
kayak hidup di jaman batu tau pak",Jadwal & Kegiatan,Tidak Berisiko
39,"ngk nyampe sehari aja udah kaget,gmna kami yg di Plosok hampir tiap hari 🫡🙂‍↔️",Percakapan Biasa,Tidak Berisiko
