pesan,kategori,label,step_casefolding,step_tokenisasi,step_stopword,step_stemming,teks_bersih
dasar sialan,Kata Kasar & Ancaman,Berisiko,dasar sialan,"['dasar', 'sialan']","['dasar', 'sialan']","['dasar', 'sialan']",dasar sialan
apa-apa lo mampusin,Kata Kasar & Ancaman,Berisiko,apa-apa lo mampusin,"['apa', 'apa', 'lo', 'mampusin']","['apa', 'apa', 'lo', 'mampusin']","['apa', 'apa', 'lo', 'mampusin']",apa apa lo mampusin
Transfer berhasil. Rp45.000 telah dikirim ke rekening BRI atas nama Rina.,Transaksi Aman,Tidak Berisiko,transfer berhasil. rp45.000 telah dikirim ke rekening bri atas nama rina.,"['transfer', 'berhasil', 'NOMINAL_UANGtelah', 'dikirim', 'ke', 'rekening', 'bri', 'atas', 'nama', 'rina']","['transfer', 'berhasil', 'NOMINAL_UANGtelah', 'dikirim', 'rekening', 'bri', 'atas', 'nama', 'rina']","['transfer', 'hasil', 'nominal uangtelah', 'kirim', 'rekening', 'bri', 'atas', 'nama', 'rina']",transfer hasil nominal uangtelah kirim rekening bri atas nama rina
"Halo, ini kurir J&T. Paket Rp24 COD Anda akan dikirim. Konfirmasi alamat via 081234567890.",Social Engineering,Berisiko,"halo, ini kurir j&t. paket rp24 cod anda akan dikirim. konfirmasi alamat via 081234567890.","['halo', 'ini', 'kurir', 'j', 't', 'paket', 'NOMINAL_UANGcod', 'anda', 'akan', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'paket', 'NOMINAL_UANGcod', 'dikirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']","['halo', 'kurir', 'paket', 'nominal uangcod', 'kirim', 'konfirmasi', 'alamat', 'via', 'NOMOR_HP_ASING']",halo kurir paket nominal uangcod kirim konfirmasi alamat via NOMOR_HP_ASING
Obat pelangsing herbal turun 11 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko,obat pelangsing herbal turun 11 kg dalam seminggu. terbukti! order ke 0812-9999-1234.,"['obat', 'pelangsing', 'herbal', 'turun', 'kg', 'dalam', 'seminggu', 'terbukti', 'order', 'ke', 'NOMOR_HP_ASING']","['obat', 'pelangsing', 'herbal', 'turun', 'kg', 'seminggu', 'terbukti', 'order', 'NOMOR_HP_ASING']","['obat', 'langsing', 'herbal', 'turun', 'kg', 'minggu', 'bukti', 'order', 'NOMOR_HP_ASING']",obat langsing herbal turun kg minggu bukti order NOMOR_HP_ASING
kon banget,Kata Kasar & Ancaman,Berisiko,kon banget,"['kon', 'banget']","['kon', 'banget']","['kon', 'banget']",kon banget
Nanti malam ada acara gak? Kalau ada yuk nonton bareng.,Percakapan Biasa,Tidak Berisiko,nanti malam ada acara gak? kalau ada yuk nonton bareng.,"['nanti', 'malam', 'ada', 'acara', 'gak', 'kalau', 'ada', 'yuk', 'nonton', 'bareng']","['malam', 'acara', 'kalau', 'yuk', 'nonton', 'bareng']","['malam', 'acara', 'kalau', 'yuk', 'nonton', 'bareng']",malam acara kalau yuk nonton bareng
ngapain lo hancurkan tanya,Kata Kasar & Ancaman,Berisiko,ngapain lo hancurkan tanya,"['ngapain', 'lo', 'hancurkan', 'tanya']","['ngapain', 'lo', 'hancurkan', 'tanya']","['ngapain', 'lo', 'hancur', 'tanya']",ngapain lo hancur tanya
Pakaian yang aku titipin kemarin sudah kamu ambil belum dari laundry?,Percakapan Biasa,Tidak Berisiko,pakaian yang aku titipin kemarin sudah kamu ambil belum dari laundry?,"['pakaian', 'yang', 'aku', 'titipin', 'kemarin', 'sudah', 'kamu', 'ambil', 'belum', 'dari', 'laundry']","['pakaian', 'aku', 'titipin', 'kemarin', 'ambil', 'laundry']","['pakai', 'aku', 'titipin', 'kemarin', 'ambil', 'laundry']",pakai aku titipin kemarin ambil laundry
"ih keparat banget sih orang ini, nyebelin",Kata Kasar & Ancaman,Berisiko,"ih keparat banget sih orang ini, nyebelin","['ih', 'keparat', 'banget', 'sih', 'orang', 'ini', 'nyebelin']","['ih', 'keparat', 'banget', 'orang', 'nyebelin']","['ih', 'keparat', 'banget', 'orang', 'nyebelin']",ih keparat banget orang nyebelin
