pesan,kategori,label
dasar sialan,Kata Kasar & Ancaman,Berisiko
apa-apa lo mampusin,Kata Kasar & Ancaman,Berisiko
Transfer berhasil. Rp45.000 telah dikirim ke rekening BRI atas nama Rina.,Transaksi Aman,Tidak Berisiko
"Halo, ini kurir J&T. Paket Rp24 COD Anda akan dikirim. Konfirmasi alamat via 081234567890.",Social Engineering,Berisiko
Obat pelangsing herbal turun 11 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko
kon banget,Kata Kasar & Ancaman,Berisiko
Nanti malam ada acara gak? Kalau ada yuk nonton bareng.,Percakapan Biasa,Tidak Berisiko
ngapain lo hancurkan tanya,Kata Kasar & Ancaman,Berisiko
Pakaian yang aku titipin kemarin sudah kamu ambil belum dari laundry?,Percakapan Biasa,Tidak Berisiko
"ih keparat banget sih orang ini, nyebelin",Kata Kasar & Ancaman,Berisiko
ntar gue sialan beneran coli,Kata Kasar & Ancaman,Berisiko
Jadwal posyandu bulan ini: setiap Rabu pukul 09.00 di balai warga RW 05.,Informasi Umum,Tidak Berisiko
Meeting jam berapa tadi? Gue ketinggalan info groupnya.,Percakapan Biasa,Tidak Berisiko
dasar lo kon emang cekik,Kata Kasar & Ancaman,Berisiko
Saldo tabungan Permata Anda: Rp45 juta. Per tanggal 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 0812-9999-1234 untuk proses.,Social Engineering,Berisiko
Unduh file PDF penting ini untuk update informasi akun kamu: update-akun.xyz/doc.pdf,Phishing,Berisiko
Eh mau ikut bukber alumni gak? Tanggal 15 di restoran Padang depan kampus.,Jadwal & Kegiatan,Tidak Berisiko
mau gue porno ya,Kata Kasar & Ancaman,Berisiko
Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di tinyurl.com/bca-verify dan ajak teman untuk bonus.,Malware,Berisiko
"Token listrik sudah saya bayarkan, ini kodenya: 7291-8374-1920-4857. Masukkan ke meteran ya",Transaksi Aman,Tidak Berisiko
Jadwal posyandu bulan ini: Senin 11 November jam 8-11 pagi di balai RW.,Jadwal & Kegiatan,Tidak Berisiko
Struk belanja: Total Rp31.000. Terima kasih sudah berbelanja di Gojek.,Transaksi Aman,Tidak Berisiko
Pengingat: Deadline laporan keuangan Q3 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
APK terbaru BCA versi 9.0 sudah rilis. Download di rb.gy/login-secure untuk fitur keamanan lengkap.,Malware,Berisiko
Ujian semester: 3 Januari 2025 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
Layanan BNI Anda akan berakhir. Perpanjang sekarang di bit.ly/verif-akun agar tidak terputus.,Phishing,Berisiko
"Info seminar gratis online tentang kewirausahaan, Sabtu pukul 10.00 WIB.",Informasi Umum,Tidak Berisiko
Hadiah ulang tahun BCA untuk nasabah setia: Rp1 juta menanti di tinyurl.com/bca-verify.,Phishing,Berisiko
"Aku mau beli laptop second, kamu tau toko yang terpercaya gak di sini?",Percakapan Biasa,Tidak Berisiko
Notifikasi Mandiri: Transfer masuk Rp2.500.000 dari AHMAD FAUZI. Saldo Rp8.750.000.,Transaksi Aman,Tidak Berisiko
dasar lo taik emang bugil,Kata Kasar & Ancaman,Berisiko
"Aduh, baru sadar tadi lupa naruh kunci di mana. Panik banget!",Percakapan Biasa,Tidak Berisiko
Pesanan berhasil dibatalkan. Refund Rp23.000 akan masuk dalam 3-5 hari kerja.,Transaksi Aman,Tidak Berisiko
