text,label
Password portal akademik saya adalah Mahasiswa2024,SENSITIF
Halo apa kabar hari ini?,TIDAK_SENSITIF
Kode login SIAKAD ku Admin123456,SENSITIF
Besok kita meeting jam berapa?,TIDAK_SENSITIF
Password WiFi kampus: Poltek@2024,SENSITIF
Terima kasih banyak ya,TIDAK_SENSITIF
Pin e-learning saya 789012,SENSITIF
Kapan deadline tugas kalkulus?,TIDAK_SENSITIF
Password Gmail untuk tugas: MyEmail123,SENSITIF
Saya sedang di perpustakaan sekarang,TIDAK_SENSITIF
Login Google Classroom pakai password Kelas2024,SENSITIF
Kuliah hari ini masuk atau libur?,TIDAK_SENSITIF
Password Zoom meeting: Meeting999,SENSITIF
Selamat pagi dosen,TIDAK_SENSITIF
Akun Microsoft Teams password nya Teams@123,SENSITIF
Presentasi kelompok 3 hari lagi,TIDAK_SENSITIF
Password Google Drive buat nyimpan skripsi: Drive2024,SENSITIF
Mau makan siang bareng gak?,TIDAK_SENSITIF
Kode akses perpustakaan digital 456789,SENSITIF
Lagi hujan deras nih di kampus,TIDAK_SENSITIF
Password hotspot laptop: Hotspot123,SENSITIF
Praktikum besok bawa laptop ya,TIDAK_SENSITIF
PIN kartu mahasiswa 123456,SENSITIF
Ruang kelas pindah ke gedung B,TIDAK_SENSITIF
Password akun Moodle: Student@2024,SENSITIF
Minggu depan UTS dimulai,TIDAK_SENSITIF
Login portal nilai dengan password Nilai123,SENSITIF
Selamat mengerjakan ujian,TIDAK_SENSITIF
Password repository GitHub tugas: Repo2024,SENSITIF
Kantin kampus tutup hari ini,TIDAK_SENSITIF
Kode akses lab komputer 789456,SENSITIF
Dosen tadi izin tidak masuk,TIDAK_SENSITIF
Password email kampus: Campus@Mail123,SENSITIF
Fotokopi di depan masjid kampus,TIDAK_SENSITIF
Login sistem presensi pakai password Hadir2024,SENSITIF
Perpustakaan buka sampai jam 8 malam,TIDAK_SENSITIF
Password Dropbox untuk project: Project@123,SENSITIF
Ayo ke cafe sebentar,TIDAK_SENSITIF
PIN ATM untuk bayar SPP 654321,SENSITIF
Bus kampus berangkat jam 3 sore,TIDAK_SENSITIF
Password akun Canvas LMS: Canvas@2024,SENSITIF
Semangat buat ujiannya!,TIDAK_SENSITIF
Kode aktivasi Microsoft Office: ABC12-DEF34-GHI56,SENSITIF
Hari ini ada seminar di aula,TIDAK_SENSITIF
Password OneNote untuk catatan kuliah: Note2024,SENSITIF
Materi sudah di-upload di e-learning,TIDAK_SENSITIF
Login portal beasiswa password: Beasiswa@123,SENSITIF
Kelompok kita presentasi pertama,TIDAK_SENSITIF
Password akun Quizlet buat belajar: Quiz2024,SENSITIF
Jangan lupa bawa KTM besok,TIDAK_SENSITIF
Kode akses ruang server 147258,SENSITIF
Ruang meeting sudah dibooking,TIDAK_SENSITIF
Password Telegram grup kelas: Grup@123,SENSITIF
Ada tugas kelompok minggu ini,TIDAK_SENSITIF
Login sistem KRS online: KRS2024pass,SENSITIF
Hari Senin mulai bimbingan skripsi,TIDAK_SENSITIF
Password akun Coursera: Online@Learn123,SENSITIF
Parkiran motor penuh nih,TIDAK_SENSITIF
PIN loker kampus 369258,SENSITIF
Kelas kita di lantai 3,TIDAK_SENSITIF
Password aplikasi absensi: Absen@2024,SENSITIF
Tolong kirimkan file PPT nya,TIDAK_SENSITIF
Kode login jurnal online: Journal123,SENSITIF
Selamat siang pak dosen,TIDAK_SENSITIF
Password akun LinkedIn untuk magang: Career@2024,SENSITIF
Besok ada kelas pengganti,TIDAK_SENSITIF
Login sistem pembayaran SPP: Bayar123,SENSITIF
Wifi di koridor lemot banget,TIDAK_SENSITIF
Password Google Scholar: Scholar@2024,SENSITIF
Hari ini kuliah sampai jam 5,TIDAK_SENSITIF
Kode akses printer kampus 852963,SENSITIF
Laporan sudah selesai dibuat,TIDAK_SENSITIF
Password akun ResearchGate: Research2024,SENSITIF
Terima kasih atas bantuannya,TIDAK_SENSITIF
Login portal PKL password: PKL@123,SENSITIF
Seminar proposal minggu depan,TIDAK_SENSITIF
Password Mendeley untuk referensi: Ref2024,SENSITIF
Buku sudah dikembalikan ke perpus,TIDAK_SENSITIF
Kode WiFi ruang dosen 741852,SENSITIF
Hari libur nasional besok,TIDAK_SENSITIF
Password Grammarly premium: Grammar@123,SENSITIF
Diskusi kelompok jam 2 siang,TIDAK_SENSITIF
Login sistem pengajuan judul skripsi: Judul2024,SENSITIF
Sudah bayar SPP semester ini?,TIDAK_SENSITIF
Password akun Turnitin: Plagiat@Check123,SENSITIF
Kantin baru enak makanannya,TIDAK_SENSITIF
Kode akses lab bahasa 963852,SENSITIF
Dosen pembimbing baik banget,TIDAK_SENSITIF
Password Notion untuk organisasi tugas: Task@2024,SENSITIF
Ayo kerjain tugas bareng,TIDAK_SENSITIF
Login portal magang industri: Magang123,SENSITIF
Minggu depan cuti bersama,TIDAK_SENSITIF
Password akun Trello project: Board@2024,SENSITIF
Presentasi berjalan lancar tadi,TIDAK_SENSITIF
Kode ruang ujian online 258147,SENSITIF
Selamat atas prestasinya,TIDAK_SENSITIF
Password Slack workspace kampus: Campus@Slack24,SENSITIF
Hari ini cuaca cerah sekali,TIDAK_SENSITIF
Login sistem bimbingan: Bimbingan@123,SENSITIF
Fotokopi sudah jadi semua,TIDAK_SENSITIF
NIK saya 3201234567890123 untuk pendaftaran beasiswa,SENSITIF
Perpustakaan sangat nyaman untuk belajar,TIDAK_SENSITIF
Nomor KTP 3301456789012345 buat verifikasi,SENSITIF
Terima kasih sudah diingatkan,TIDAK_SENSITIF
NPWP saya 12.345.678.9-012.000 untuk SPT,SENSITIF
Kelas dimulai tepat waktu,TIDAK_SENSITIF
Nomor rekening BCA 1234567890 untuk terima beasiswa,SENSITIF
Selamat menjalankan ibadah puasa,TIDAK_SENSITIF
No rekening Mandiri 1370012345678 buat bayar SPP,SENSITIF
Jangan lupa bawa alat tulis,TIDAK_SENSITIF
Nomor kartu kredit 4532123456789012 CVV 123,SENSITIF
Sampai jumpa di kelas ya,TIDAK_SENSITIF
PIN ATM BRI 654321 jangan lupa ya,SENSITIF
Hari ini ada acara organisasi,TIDAK_SENSITIF
Kode CVV kartu debit 789,SENSITIF
Maaf saya terlambat sedikit,TIDAK_SENSITIF
Nomor polis asuransi kesehatan 123456789012,SENSITIF
Selamat bergabung di kampus kita,TIDAK_SENSITIF
BPJS Kesehatan 0001234567890,SENSITIF
Hari ini kuliah online via Zoom,TIDAK_SENSITIF
Nomor SIM A 1234567890123 untuk sewa motor,SENSITIF
Ruangan ber-AC sangat dingin,TIDAK_SENSITIF
Paspor nomor A1234567 masa berlaku 2027,SENSITIF
Sudah makan siang belum?,TIDAK_SENSITIF
Nomor KK 3201012345678901 untuk syarat administrasi,SENSITIF
Silakan masuk ke ruangan,TIDAK_SENSITIF
Akta kelahiran nomor 123/Akta/2003,SENSITIF
Hari ini ada jadwal piket kelas,TIDAK_SENSITIF
