id,pesan,kategori,label
1,dasar sialan,Kata Kasar & Ancaman,Berisiko
2,apa-apa lo mampusin,Kata Kasar & Ancaman,Berisiko
3,Transfer berhasil. Rp45.000 telah dikirim ke rekening BRI atas nama Rina.,Transaksi Aman,Tidak Berisiko
4,"Halo, ini kurir J&T. Paket Rp24 COD Anda akan dikirim. Konfirmasi alamat via 081234567890.",Social Engineering,Berisiko
5,Obat pelangsing herbal turun 11 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko
6,kon banget,Kata Kasar & Ancaman,Berisiko
7,Nanti malam ada acara gak? Kalau ada yuk nonton bareng.,Percakapan Biasa,Tidak Berisiko
8,ngapain lo hancurkan tanya,Kata Kasar & Ancaman,Berisiko
9,Pakaian yang aku titipin kemarin sudah kamu ambil belum dari laundry?,Percakapan Biasa,Tidak Berisiko
10,"ih keparat banget sih orang ini, nyebelin",Kata Kasar & Ancaman,Berisiko
11,ntar gue sialan beneran coli,Kata Kasar & Ancaman,Berisiko
12,Jadwal posyandu bulan ini: setiap Rabu pukul 09.00 di balai warga RW 05.,Informasi Umum,Tidak Berisiko
13,Meeting jam berapa tadi? Gue ketinggalan info groupnya.,Percakapan Biasa,Tidak Berisiko
14,dasar lo kon emang cekik,Kata Kasar & Ancaman,Berisiko
15,Saldo tabungan Permata Anda: Rp45 juta. Per tanggal 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
16,Saya dari divisi hadiah Grab. Anda menang grand prize. Kirim foto KTP + selfie ke 0812-9999-1234 untuk proses.,Social Engineering,Berisiko
17,Unduh file PDF penting ini untuk update informasi akun kamu: update-akun.xyz/doc.pdf,Phishing,Berisiko
18,Eh mau ikut bukber alumni gak? Tanggal 15 di restoran Padang depan kampus.,Jadwal & Kegiatan,Tidak Berisiko
19,mau gue porno ya,Kata Kasar & Ancaman,Berisiko
20,Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di tinyurl.com/bca-verify dan ajak teman untuk bonus.,Malware,Berisiko
21,"Token listrik sudah saya bayarkan, ini kodenya: 7291-8374-1920-4857. Masukkan ke meteran ya",Transaksi Aman,Tidak Berisiko
22,Jadwal posyandu bulan ini: Senin 11 November jam 8-11 pagi di balai RW.,Jadwal & Kegiatan,Tidak Berisiko
23,Struk belanja: Total Rp31.000. Terima kasih sudah berbelanja di Gojek.,Transaksi Aman,Tidak Berisiko
24,Pengingat: Deadline laporan keuangan Q3 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
25,APK terbaru BCA versi 9.0 sudah rilis. Download di rb.gy/login-secure untuk fitur keamanan lengkap.,Malware,Berisiko
26,Ujian semester: 3 Januari 2025 pukul 09.00. Ruang ujian akan diumumkan H-1.,Jadwal & Kegiatan,Tidak Berisiko
27,Layanan BNI Anda akan berakhir. Perpanjang sekarang di bit.ly/verif-akun agar tidak terputus.,Phishing,Berisiko
28,"Info seminar gratis online tentang kewirausahaan, Sabtu pukul 10.00 WIB.",Informasi Umum,Tidak Berisiko
29,Hadiah ulang tahun BCA untuk nasabah setia: Rp1 juta menanti di tinyurl.com/bca-verify.,Phishing,Berisiko
30,"Aku mau beli laptop second, kamu tau toko yang terpercaya gak di sini?",Percakapan Biasa,Tidak Berisiko
31,Notifikasi Mandiri: Transfer masuk Rp2.500.000 dari AHMAD FAUZI. Saldo Rp8.750.000.,Transaksi Aman,Tidak Berisiko
32,dasar lo taik emang bugil,Kata Kasar & Ancaman,Berisiko
33,"Aduh, baru sadar tadi lupa naruh kunci di mana. Panik banget!",Percakapan Biasa,Tidak Berisiko
34,Pesanan berhasil dibatalkan. Refund Rp23.000 akan masuk dalam 3-5 hari kerja.,Transaksi Aman,Tidak Berisiko
35,Tim keamanan Danamon menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko
36,Selamat pagi Pak! Saya kirim file tugas lewat drive ya: drive.google.com/tugas-akhir,Informasi Umum,Tidak Berisiko
37,"Hai kak, saya dari CS Shopee resmi. Pesanan kamu gagal dikirim. Bisa konfirmasi alamat lewat aplikasi?",Informasi Umum,Tidak Berisiko
38,Pembayaran angsuran motor Honda bulan Oktober sudah diterima. Terimakasih!,Transaksi Aman,Tidak Berisiko
39,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 087712345678.",Penipuan,Berisiko
40,Hari ini gue resign dari kantor. Udah saatnya coba hal baru!,Percakapan Biasa,Tidak Berisiko
41,emang cabul dari sananya,Kata Kasar & Ancaman,Berisiko
42,Pertemuan orang tua dan guru: Sabtu 3 Januari 2025 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
43,tonjok banget,Kata Kasar & Ancaman,Berisiko
44,Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
45,ntar gue anjing beneran siksa,Kata Kasar & Ancaman,Berisiko
46,Update aplikasi Go-Jek ke versi terbaru untuk fitur pelacakan lebih akurat.,Informasi Umum,Tidak Berisiko
47,"Halo, ini kurir Anteraja. Paket Rp25 COD Anda akan dikirim. Konfirmasi alamat via 0822-1111-9999.",Social Engineering,Berisiko
48,Struk belanja: Total Rp35.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko
49,Jual rumah subsidi DP 0% di Medan. Harga Rp39 juta all-in. Hubungi 087712345678 sekarang.,Penipuan,Berisiko
50,"Jadwal penerbangan: Semarang-Bali, 10 Agustus 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
51,Tagihan PDAM bulan ini Rp13.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
52,hei rasis,Kata Kasar & Ancaman,Berisiko
53,Anda memenangkan iPhone terbaru! Unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,Malware,Berisiko
54,Unduh aplikasi Shopee mod premium gratis. Nikmati semua fitur tanpa bayar di rb.gy/update-bri.,Malware,Berisiko
55,dasar habisi,Kata Kasar & Ancaman,Berisiko
56,Kamu mau ikut reuni angkatan bulan depan gak?,Percakapan Biasa,Tidak Berisiko
57,beneran deh sundal lo itu tai,Kata Kasar & Ancaman,Berisiko
58,hei hajar,Kata Kasar & Ancaman,Berisiko
59,muka kon lo,Kata Kasar & Ancaman,Berisiko
60,"Gas rumah sakit yuk, nengokin Pak Hendra yang baru operasi.",Percakapan Biasa,Tidak Berisiko
61,BCA resmi: Anda mendapat reward Rp39 juta. Tukarkan di bit.ly/verif-akun sebelum hangus.,Phishing,Berisiko
62,Transfer berhasil. Rp50.000 telah dikirim ke rekening BRI atas nama Doni.,Transaksi Aman,Tidak Berisiko
63,Pembayaran tagihan listrik Rp43.000 berhasil pada 1 Oktober 2024. No. referensi: TRX2024001.,Transaksi Aman,Tidak Berisiko
64,"Halo, ini dr. Rina dari puskesmas. Hasil cek darah ibu sudah keluar, bisa ke sini besok?",Informasi Umum,Tidak Berisiko
65,Unduh aplikasi Blibli mod premium gratis. Nikmati semua fitur tanpa bayar di shorturl.at/hadiah.,Malware,Berisiko
66,bosen gue sama tingkah ngentot lo bodoh banget,Kata Kasar & Ancaman,Berisiko
67,Layanan CIMB Anda akan berakhir. Perpanjang sekarang di rb.gy/login-secure agar tidak terputus.,Phishing,Berisiko
68,Part time online gaji Rp39.000/jam. Kerja 2-3 jam/hari. Daftar di cutt.ly/cek-saldo.,Penipuan,Berisiko
69,Info penting: Akun WhatsApp kamu mungkin bisa diretas kalau klik link sembarangan. Stay safe!,Informasi Umum,Tidak Berisiko
70,Ini kurir Anteraja. Paket kamu sudah 3 hari tidak diambil. Konfirmasi ulang alamat di: antr-id.com,Phishing,Berisiko
71,Penerimaan CPNS dibuka bulan depan. Info lengkap di portal resmi BKN.,Informasi Umum,Tidak Berisiko
72,"Deadline laporan besok jam 9 pagi ya, jangan lupa!",Jadwal & Kegiatan,Tidak Berisiko
73,lo lonte,Kata Kasar & Ancaman,Berisiko
74,Promo terbatas: Dapat uang Rp200rb hanya dengan like dan share postingan ini. Daftar: like-duit.id,Penipuan,Berisiko
75,"Tadi nemu dompet di parkiran, sudah aku serahin ke satpam ya.",Percakapan Biasa,Tidak Berisiko
76,Donasi Rp44.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
77,Top up GoPay Rp30.000 berhasil. Saldo GoPay Anda: Rp1600.000.,Transaksi Aman,Tidak Berisiko
78,Lomba memasak RT akan dilaksanakan Minggu tanggal 3 November jam 9 pagi.,Jadwal & Kegiatan,Tidak Berisiko
79,sudah tau diri tai,Kata Kasar & Ancaman,Berisiko
80,udah diem masturbasi,Kata Kasar & Ancaman,Berisiko
81,hei taik,Kata Kasar & Ancaman,Berisiko
82,Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 0877-3333-5678.,Social Engineering,Berisiko
83,otak cuk ngomong sembarangan,Kata Kasar & Ancaman,Berisiko
84,Permata resmi: Anda mendapat reward Rp17 juta. Tukarkan di cutt.ly/cek-saldo sebelum hangus.,Phishing,Berisiko
85,"Halo, ini kurir Ninja Express. Paket Rp19 COD Anda akan dikirim. Konfirmasi alamat via 0812-9999-1234.",Social Engineering,Berisiko
86,jangan sampe ketemu cekik lo nanti,Kata Kasar & Ancaman,Berisiko
87,kamu dungu banget sih semprot,Kata Kasar & Ancaman,Berisiko
88,PENTING: Sistem keamanan BRI mendeteksi login tidak dikenal. Konfirmasi identitas Anda di shorturl.at/hadiah.,Phishing,Berisiko
89,diem atau gue dasar cina,Kata Kasar & Ancaman,Berisiko
90,Transfer patungan kado untuk Reza sudah masuk ya. Makasih!,Transaksi Aman,Tidak Berisiko
91,Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 082233445566 dalam 24 jam.,Social Engineering,Berisiko
92,Pertemuan orang tua dan guru: Sabtu 5 Desember 2024 pukul 09.00 di aula sekolah.,Jadwal & Kegiatan,Tidak Berisiko
93,Futsal bareng teman kantor tiap Jumat jam 7 malam. Siapa mau ikut?,Jadwal & Kegiatan,Tidak Berisiko
94,Konfirmasi transaksi Danamon Rp50 juta ke rekening tidak dikenal. Tolak di tinyurl.com/bca-verify.,Phishing,Berisiko
95,ngentot sama ngentot emang,Kata Kasar & Ancaman,Berisiko
96,"Ibu, nanti dijemput jam 5 ya. Aku lagi di jalan.",Percakapan Biasa,Tidak Berisiko
97,"Makasih udah temani tadi malam, seneng banget ngobrolnya.",Percakapan Biasa,Tidak Berisiko
98,ya setan emang kelakuan lo geblek,Kata Kasar & Ancaman,Berisiko
99,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0822-1111-9999.",Penipuan,Berisiko
100,Pembayaran tagihan listrik Rp25.000 berhasil pada 10 Agustus 2024. No. referensi: TKT-99123.,Transaksi Aman,Tidak Berisiko
101,Update: Jalan Medan ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
102,Survey online bayar Rp2.000 per jawaban. Daftar gratis di tinyurl.com/bca-verify.,Penipuan,Berisiko
103,Kamu bisa rekomendasiin dokter gigi yang bagus gak di sini?,Percakapan Biasa,Tidak Berisiko
104,Sistem BNI mendeteksi perubahan data. Verifikasi di ow.ly/cek-akun dalam 1 jam atau akun dikunci.,Phishing,Berisiko
105,ntar gue gebuk beneran,Kata Kasar & Ancaman,Berisiko
106,Akun Bukalapak Anda login dari perangkat baru. Masukkan 376429 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
107,dasar jancuk,Kata Kasar & Ancaman,Berisiko
108,otak brengsek ngomong sembarangan kontol,Kata Kasar & Ancaman,Berisiko
109,cabul banget,Kata Kasar & Ancaman,Berisiko
110,eh kontol diem lo,Kata Kasar & Ancaman,Berisiko
111,Pembayaran premi asuransi Rp37.000 berhasil. Polis Anda aktif hingga 5 Desember 2024.,Transaksi Aman,Tidak Berisiko
112,dasar lo cekik emang,Kata Kasar & Ancaman,Berisiko
113,Hati-hati penipuan modus kirim link undangan nikah palsu. Jangan diklik sembarangan!,Informasi Umum,Tidak Berisiko
114,sumpah hidung belang banget,Kata Kasar & Ancaman,Berisiko
115,Part time online gaji Rp47.000/jam. Kerja 2-3 jam/hari. Daftar di rb.gy/login-secure.,Penipuan,Berisiko
116,tunggu aja lo gue serang penis,Kata Kasar & Ancaman,Berisiko
117,Selamat ulang tahun! Gojek memberikan voucher Rp16 juta. Tukarkan ke CS 08813216543.,Social Engineering,Berisiko
118,Pembelian tiket kereta Palembang-Jakarta berhasil. Kode booking: TX-44812. Berangkat 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
119,Update wajib WhatsApp versi terbaru. Unduh APK resmi di bit.ly/verif-akun sebelum akun Anda dinonaktifkan.,Malware,Berisiko
120,Arisan online berhadiah motor. Modal Rp9.000/bulan. Join grup WA 085612345678.,Penipuan,Berisiko
121,Reminder: Pembayaran SPP bulan ini paling lambat tanggal 10.,Informasi Umum,Tidak Berisiko
122,anak bokep bokep,Kata Kasar & Ancaman,Berisiko
123,sudah tau diri sundal,Kata Kasar & Ancaman,Berisiko
124,emang murahan dari sananya,Kata Kasar & Ancaman,Berisiko
125,Pembelian tiket kereta Makassar-Jakarta berhasil. Kode booking: INV-20240831. Berangkat 20 November 2024.,Transaksi Aman,Tidak Berisiko
126,eh porno,Kata Kasar & Ancaman,Berisiko
127,Update wajib WhatsApp versi terbaru. Unduh APK resmi di rb.gy/update-bri sebelum akun Anda dinonaktifkan.,Malware,Berisiko
128,Selamat! Kartu kredit Mandiri Anda memenangkan cashback Rp5 juta. Klik shorturl.at/hadiah untuk klaim.,Phishing,Berisiko
129,Tagihan PDAM bulan ini Rp17.000. Jatuh tempo: 1 Oktober 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
130,Saya dari divisi hadiah Shopee. Anda menang grand prize. Kirim foto KTP + selfie ke 082233445566 untuk proses.,Social Engineering,Berisiko
131,Kamu diundang ke acara pernikahan Hendra & Doni pada 15 September 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
132,memek banget,Kata Kasar & Ancaman,Berisiko
133,Try Out UTBK gratis angkatan 12 SMA dilaksanakan Sabtu ini jam 7 pagi.,Jadwal & Kegiatan,Tidak Berisiko
134,Tim keamanan BCA menemukan kebocoran data. Reset password di s.id/klaim-hadiah segera.,Phishing,Berisiko
135,lo murahan itu beneran dasar bule,Kata Kasar & Ancaman,Berisiko
136,"Halo kak, saya dari Ninja Express. Paket Anda tertahan bea cukai. Bayar Rp9.000 ke BRI 1234567890 untuk dilepas.",Social Engineering,Berisiko
137,Selamat! Nilai semester kamu sudah keluar. Login ke portal akademik untuk melihat KHS.,Informasi Umum,Tidak Berisiko
138,Investasi kripto profit 50% per bulan DIJAMIN. Modal awal Rp8.000. Info: 082233445566.,Penipuan,Berisiko
139,"Halo kak, ini admin marketplace. Ada masalah di pesanan Anda. Tolong hubungi WA 0822-1111-9999 sekarang.",Social Engineering,Berisiko
140,gue bilang tolol sama lo brengsek,Kata Kasar & Ancaman,Berisiko
141,lo cabul itu beneran,Kata Kasar & Ancaman,Berisiko
142,Notifikasi: Tagihan kartu kredit BRI bulan ini Rp11.000. Jatuh tempo 1 Oktober 2024.,Transaksi Aman,Tidak Berisiko
143,Saya dari divisi hadiah Dana. Anda menang grand prize. Kirim foto KTP + selfie ke 085612345678 untuk proses.,Social Engineering,Berisiko
144,Pengajian akbar dalam rangka Maulid Nabi akan diadakan Sabtu malam di lapangan.,Jadwal & Kegiatan,Tidak Berisiko
145,"Bro, titip beliin kopi dong kalau lewat. Yang biasa aja.",Percakapan Biasa,Tidak Berisiko
146,Konfirmasi transaksi BCA Rp22 juta ke rekening tidak dikenal. Tolak di ow.ly/cek-akun.,Phishing,Berisiko
147,Tagihan PDAM bulan ini Rp29.000. Jatuh tempo: 10 Agustus 2024. Bayar tepat waktu.,Transaksi Aman,Tidak Berisiko
148,Pengingat: Deadline laporan keuangan Q1 adalah hari Jumat pukul 17.00.,Jadwal & Kegiatan,Tidak Berisiko
149,Tim Bukalapak: Akun seller Anda dilaporkan fraud. Verifikasi identitas ke 08813216543 dalam 24 jam.,Social Engineering,Berisiko
