id,pesan,kategori,label
1,Penerimaan CPNS dibuka bulan depan. Info lengkap di portal resmi BKN.,Informasi Umum,Tidak Berisiko
2,"Halo kak, saya dari Ninja Express. Paket Anda tertahan bea cukai. Bayar Rp20.000 ke DANA 082233445566 untuk dilepas.",Social Engineering,Berisiko
3,Aplikasi penghasil pulsa gratis 100% terpercaya. Unduh di cutt.ly/cek-saldo dan ajak teman untuk bonus.,Malware,Berisiko
4,"Jadwal penerbangan: Yogyakarta-Bali, 1 Oktober 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
5,Reminder: SIM Anda berakhir bulan depan. Segera perpanjang di Satpas terdekat.,Informasi Umum,Tidak Berisiko
6,Film yang kemarin kamu rekomendasiin bagus banget! Makasih ya.,Percakapan Biasa,Tidak Berisiko
7,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 08813216543.",Penipuan,Berisiko
8,Investasi kripto profit 10% per bulan DIJAMIN. Modal awal Rp40.000. Info: 0822-1111-9999.,Penipuan,Berisiko
9,"Wah, macet banget hari ini. Kamu naik apa ke kantor?",Percakapan Biasa,Tidak Berisiko
10,"Wah, macet banget hari ini. Kamu naik apa ke kantor?",Percakapan Biasa,Tidak Berisiko
11,Reset PIN BRI diminta. Kode keamanan Anda: 074152. Jangan berikan kepada siapapun.,Pencurian Akun,Berisiko
12,Anda memenangkan iPhone terbaru! Unduh form klaim di shorturl.at/hadiah dan isi data untuk pengiriman.,Malware,Berisiko
13,Donasi Rp16.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
14,Admin marketplace menghubungi Anda terkait komplain pembeli. Respon segera di 08813216543.,Social Engineering,Berisiko
15,Update: Jalan Balikpapan ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
16,"Jadwal penerbangan: Palembang-Bali, 10 Agustus 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
17,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp43 juta ke DANA 082233445566 untuk biaya darurat.",Social Engineering,Berisiko
18,"Info arisan RT: Pertemuan bulan ini dipindah ke Sabtu, 25 Mei pukul 19.00.",Informasi Umum,Tidak Berisiko
19,Update: Jalan Yogyakarta ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
20,Kelas yoga online besok jam 07.00 via Zoom. Link dikirim terpisah.,Informasi Umum,Tidak Berisiko
21,"Wah, macet banget hari ini. Kamu naik apa ke kantor?",Percakapan Biasa,Tidak Berisiko
22,Kamu bawa payung gak? Kelihatannya mau hujan nih.,Percakapan Biasa,Tidak Berisiko
23,Update: Jalan Surabaya ditutup sementara untuk perbaikan hingga akhir minggu.,Informasi Umum,Tidak Berisiko
24,Salam buat keluarga di rumah ya. Kapan main ke sini?,Percakapan Biasa,Tidak Berisiko
25,E-wallet Anda berhasil diisi Rp36.000 via transfer bank. Saldo: Rp1900.000.,Transaksi Aman,Tidak Berisiko
26,Berita olahraga: Tim nasional menang 3-1 dalam laga persahabatan semalam.,Informasi Umum,Tidak Berisiko
27,Pembayaran premi asuransi Rp41.000 berhasil. Polis Anda aktif hingga 15 September 2024.,Transaksi Aman,Tidak Berisiko
28,Ada yang mencoba masuk ke akun Blibli Anda. Verifikasi dengan kode 634829 atau akun akan dikunci.,Pencurian Akun,Berisiko
29,Jual akun Shopee seller terpercaya rating bintang 5. Harga Rp47.000. WA 08813216543.,Penipuan,Berisiko
