id,pesan,kategori,label
1,Notifikasi: Tagihan kartu kredit BSI bulan ini Rp28.000. Jatuh tempo 15 September 2024.,Transaksi Aman,Tidak Berisiko
2,Pembayaran listrik bulan ini berhasil. Tagihan Rp241.000 sudah lunas.,Transaksi Aman,Tidak Berisiko
3,E-banking BNI Anda terindikasi diretas. Amankan sekarang di rb.gy/login-secure sebelum terlambat.,Phishing,Berisiko
4,"Udah makan belum? Tadi beli nasi padang, enak banget.",Percakapan Biasa,Tidak Berisiko
5,Kode OTP Anda adalah 418392. JANGAN berikan kepada siapapun termasuk pihak BNI.,Pencurian Akun,Berisiko
6,"Nanti pulang kantor mampir indomaret dulu ya, kita butuh galon baru.",Percakapan Biasa,Tidak Berisiko
7,Tim keamanan BRI menemukan kebocoran data. Reset password di tinyurl.com/bca-verify segera.,Phishing,Berisiko
8,Pesanan berhasil dibatalkan. Refund Rp12.000 akan masuk dalam 3-5 hari kerja.,Transaksi Aman,Tidak Berisiko
9,"Gue bakal telat 15 menit. Tolong mulai duluan ya, makasih.",Percakapan Biasa,Tidak Berisiko
10,Pengumuman kampus: Mahasiwa yang belum bayar UKT dilarang ikut UAS.,Informasi Umum,Tidak Berisiko
11,Peringatan keamanan BSI: PIN Anda dicoba 3 kali. Amankan akun di bit.do/verifikasi segera.,Phishing,Berisiko
12,Kamu berhasil dapat poin reward 12.500. Tukarkan sekarang sebelum expired: reward-id.net/tukar,Phishing,Berisiko
13,"Info arisan RT: Pertemuan bulan ini dipindah ke Sabtu, 25 September pukul 19.00.",Informasi Umum,Tidak Berisiko
14,"Bu/Pak, anak Anda mengalami kecelakaan. Segera transfer Rp13 juta ke DANA 082233445566 untuk biaya darurat.",Social Engineering,Berisiko
15,"Seseorang meminta reset password akun Shopee Anda. Masukkan kode 074152 untuk konfirmasi. Jika bukan Anda, abaikan.",Pencurian Akun,Berisiko
16,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 0877-3333-5678.",Penipuan,Berisiko
17,Akun BSI Anda akan dinonaktifkan. Update data KYC sekarang di tinyurl.com/bca-verify sebelum batas waktu.,Phishing,Berisiko
18,Update wajib aplikasi BRI. Unduh versi terbaru di tinyurl.com/bca-verify untuk keamanan transaksi Anda.,Phishing,Berisiko
19,Transfer berhasil. Rp38.000 telah dikirim ke rekening CIMB atas nama Rina.,Transaksi Aman,Tidak Berisiko
20,"Eh bentar, sinyal gue jelek banget di sini. Nanti gue hubungi balik ya.",Percakapan Biasa,Tidak Berisiko
21,Pembelian tiket kereta Semarang-Jakarta berhasil. Kode booking: TX-44812. Berangkat 10 Agustus 2024.,Transaksi Aman,Tidak Berisiko
22,Update status pesanan #12345 kamu sudah sampai di kota tujuan.,Informasi Umum,Tidak Berisiko
23,"Lomba karya ilmiah pendaftaran terakhir hari Jumat ini, jangan sampai lupa!",Jadwal & Kegiatan,Tidak Berisiko
24,Struk belanja: Total Rp35.000. Terima kasih sudah berbelanja di Lazada.,Transaksi Aman,Tidak Berisiko
25,"Pinjaman online cair 5 menit tanpa jaminan, tanpa BI checking. Proses di t.ly/klaim-now.",Penipuan,Berisiko
26,Ini Tim Tokopedia. Toko Anda melanggar kebijakan. Hubungi 081234567890 dalam 2 jam atau akun ditutup permanen.,Social Engineering,Berisiko
27,Akun Danamon Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di cutt.ly/cek-saldo atau akun diblokir 24 jam.,Phishing,Berisiko
28,"Kak, buku yang dipinjem bulan lalu bisa dikembalikan minggu ini?",Percakapan Biasa,Tidak Berisiko
29,Pengumuman RT: Kerja bakti hari Minggu jam 7 pagi. Mohon kehadiran warganya.,Jadwal & Kegiatan,Tidak Berisiko
30,Pengumuman: Listrik padam bergilir Selasa pukul 08.00-12.00 di wilayah Pematangsiantar.,Informasi Umum,Tidak Berisiko
31,Update wajib aplikasi BCA. Unduh versi terbaru di t.ly/klaim-now untuk keamanan transaksi Anda.,Phishing,Berisiko
32,Selamat! Nomor Anda terpilih program loyalitas Smartfren. Balas OTP yang dikirim ke CS kami di 08813216543.,Social Engineering,Berisiko
33,Penerimaan mahasiswa baru jalur mandiri dibuka mulai hari ini hingga akhir Juli.,Informasi Umum,Tidak Berisiko
34,Selamat! Nomor Anda terpilih program loyalitas Telkomsel. Balas OTP yang dikirim ke CS kami di 081234567890.,Social Engineering,Berisiko
35,Kode OTP Anda adalah 183742. JANGAN berikan kepada siapapun termasuk pihak Mandiri.,Pencurian Akun,Berisiko
36,"Kredit HP tanpa kartu kredit, tanpa DP, bunga 0%. Proses cepat, WA 08813216543.",Penipuan,Berisiko
37,"Jadwal penerbangan: Jakarta-Bali, 15 September 2024 pukul 07.30. Check-in 2 jam sebelumnya.",Jadwal & Kegiatan,Tidak Berisiko
38,Akun Blibli Anda login dari perangkat baru. Masukkan 634829 untuk izinkan atau tolak akses.,Pencurian Akun,Berisiko
39,E-wallet Anda berhasil diisi Rp44.000 via transfer bank. Saldo: Rp1300.000.,Transaksi Aman,Tidak Berisiko
40,"Info arisan RT: Pertemuan bulan ini dipindah ke Sabtu, 25 April pukul 19.00.",Informasi Umum,Tidak Berisiko
41,Konfirmasi transaksi Permata Rp40 juta ke rekening tidak dikenal. Tolak di bit.ly/verif-akun.,Phishing,Berisiko
42,"Pasang togel online terpercaya, menang langsung dibayar. Daftar di rb.gy/login-secure.",Penipuan,Berisiko
43,PROMO: Tiket pesawat Medan-Jakarta Rp44.000 PP. Booking sekarang di rb.gy/login-secure sebelum habis.,Penipuan,Berisiko
44,Jual rumah subsidi DP 0% di Medan. Harga Rp39 juta all-in. Hubungi 087712345678 sekarang.,Penipuan,Berisiko
45,Jadwal posyandu bulan ini: setiap Rabu pukul 09.00 di balai warga RW 05.,Informasi Umum,Tidak Berisiko
46,Cicilan bulan ke-2 dari 12 sebesar Rp7.000 berhasil didebet otomatis.,Transaksi Aman,Tidak Berisiko
47,"Habis dari klinik, kata dokter cuma kecapekan. Istirahat aja katanya.",Percakapan Biasa,Tidak Berisiko
48,Donasi Rp11.000 Anda berhasil disalurkan. Terima kasih atas kepedulian Anda.,Transaksi Aman,Tidak Berisiko
49,Cuaca hari ini panas banget ya. Kamu udah pakai sunscreen?,Percakapan Biasa,Tidak Berisiko
50,Meeting jam berapa tadi? Gue ketinggalan info groupnya.,Percakapan Biasa,Tidak Berisiko
51,Update wajib aplikasi BSI. Unduh versi terbaru di t.ly/klaim-now untuk keamanan transaksi Anda.,Phishing,Berisiko
52,Layanan CIMB Anda akan berakhir. Perpanjang sekarang di rb.gy/login-secure agar tidak terputus.,Phishing,Berisiko
53,Dana darurat koperasi sudah bisa diproses. Cair dalam 2 hari kerja.,Transaksi Aman,Tidak Berisiko
54,Akun BRI Anda terdeteksi aktivitas mencurigakan. Verifikasi segera di tinyurl.com/bca-verify atau akun diblokir 24 jam.,Phishing,Berisiko
55,Promo terbatas: Dapat uang Rp200rb hanya dengan like dan share postingan ini. Daftar: like-duit.id,Penipuan,Berisiko
56,Notifikasi Danamon: Transaksi Rp21.000 terdeteksi dari lokasi asing. Batalkan di ow.ly/cek-akun.,Phishing,Berisiko
57,Lomba memasak RT akan dilaksanakan Minggu tanggal 3 November jam 9 pagi.,Jadwal & Kegiatan,Tidak Berisiko
58,Ada yang mencoba masuk ke akun Shopee Anda. Verifikasi dengan kode 183742 atau akun akan dikunci.,Pencurian Akun,Berisiko
59,Obat pelangsing herbal turun 11 kg dalam seminggu. Terbukti! Order ke 0812-9999-1234.,Penipuan,Berisiko
60,Tim keamanan BRI menemukan kebocoran data. Reset password di cutt.ly/cek-saldo segera.,Phishing,Berisiko
61,Kamu diundang ke acara pernikahan Rizky & Andi pada 3 Januari 2025 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
62,Pembelian tiket kereta Makassar-Jakarta berhasil. Kode booking: TX-44812. Berangkat 15 September 2024.,Transaksi Aman,Tidak Berisiko
63,PR-nya udah selesai belum? Gue masih nyangkut di nomor 3.,Percakapan Biasa,Tidak Berisiko
64,Hadiah ulang tahun BTN untuk nasabah setia: Rp44 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
65,Bukti transfer Rp45 juta dari BNI. Cek lampiran di shorturl.at/hadiah segera.,Malware,Berisiko
66,Pembayaran premi asuransi Rp33.000 berhasil. Polis Anda aktif hingga 3 Januari 2025.,Transaksi Aman,Tidak Berisiko
67,Bukti transfer Rp20 juta dari BSI. Cek lampiran di bit.ly/verif-akun segera.,Malware,Berisiko
68,Kamu diundang ke acara pernikahan Fitri & Agus pada 15 September 2024 pukul 10.00 WIB.,Jadwal & Kegiatan,Tidak Berisiko
69,Permintaan penarikan Rp4 juta dari dompet Grab Anda. Konfirmasi dengan OTP: 529471.,Pencurian Akun,Berisiko
70,E-banking CIMB Anda terindikasi diretas. Amankan sekarang di ow.ly/cek-akun sebelum terlambat.,Phishing,Berisiko
71,Pembayaran angsuran motor Honda bulan Oktober sudah diterima. Terimakasih!,Transaksi Aman,Tidak Berisiko
72,Hadiah ulang tahun Permata untuk nasabah setia: Rp15 juta menanti di cutt.ly/cek-saldo.,Phishing,Berisiko
73,"Acara nikahan Dina tanggal 15 Desember di Gedung Graha Sabha, jangan lupa ya!",Jadwal & Kegiatan,Tidak Berisiko
